Mobile Model,Price,Overall Ratings,Reviews Count,Review Title,Reviewer,Reviewer Rating,Reviewe Comment
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Average Buy,Hitesh Narkhede,3.0 out of 5 stars,"
  Processor is bit slow, camera is below average except that everthing works fine. I personally don't like MIUI because of lots of ads and bloatwares. But, good budget range phone if you ignore/adjust this issues.
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",best product,Yashu,5.0 out of 5 stars,"
  best good product prive battry camera all very good
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Looking mobile best feature,Monu Godara,5.0 out of 5 stars,"
  Good mobile
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",DONT BUY THIS MOBILE .,Amazon Customer,1.0 out of 5 stars,"
  Don’t buy this product .Image quality is below average comparing with the specification. Useless camera.And there is NO RETURN POLICY and replacing with same mobile is big headache .DON’T buy this mobile
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120","Redmi 9 hhoo, 9, 9🤩, 9, changed mind",ADIL.T.M,4.0 out of 5 stars,"
  Let’s make one thing clear immediately: the Xiaomi Redmi 9 is a phone with flaws, and it has a lot of them. On the other hand, it is one of the most affordable phones available anywhere right now, and it's hard to find a better phone at this price point.The screen is of barely acceptable quality, the camera is disappointing, and the performance is middling at best, and yet, the Redmi 9 counters these with its superb design, good feature set, long battery life, and finally, the biggest ace in its sleeve — the ultra-affordable pricing. Let that sink in — the Redmi 9 starts at less than 9000, This alone offsets all of the flaws that the phone has in store for us. Or does it? Let's look at the the many, many corners that have been cut to achieve this pricing🇩 🇪 🇸 🇮 🇬 🇳 Plastic is fantastic, especially on affordable phones, and the Redmi 9 once again proves that. The textured back of the Redmi 9 feels great in the hand and provides excellent grip when used naked, though I’d still recommend putting a case on. I actually quite like the textured back of the device, which not only helps with the grip, but also adds a certain ""cool"" factor to the device, and no, I have zero issues with the fact that I'm touching plastic. What’s more, plastic keeps the weight below 200 grams, which is admirable for such a large device with its humongous 5,020mAh battery. Don’t get me wrong, it’s still a big and heavy phone, but it doesn’t strike as such. Overall, the Redmi 9 is a joy to handle, despite its large dimensions.🇩 🇮 🇸 🇵 🇱 🇦 🇾 The display of the Redmi 9 is pretty average. Sure, it’s large and spacious with its 6.53-inch diagonal, and the resolution is more than sufficient, but it’s an LCD FHD+ display with bleak colors, low brightness, and disappointing contrast. The display is lackluster, and I didn’t enjoy it at all during my time with the phone. You will also have a hard time under bright sunlight, as it’s just not bright enough.🅱🅰🆃🆃🅴🆁🆈The battery backup, fortunately, is spectacular on the Redmi 9. With the phone's fairly efficient hardware, the large, 5,020mAh battery takes a long while to drain. You can rest assured it will last you for a long time; in my experience, two days of usage were guaranteed. In our custom battery tests, the phone lasted for a combined time of 10 hours and 14 minutes, which is one of the best results we've seen so far in 2020. Charging, however, is pretty slow — the 10W charger included in the box topped up the Redmi 9 in 168 minutes, or 2 hours and 48 minutes. That's slow, but then again, what else did you expect?🅲🅰🅼🅴🆁🅰There are three cameras on the Redmi 9: a 13MP main, an 8MP ultra-wide, a 5MP macro camera, and a 2MP depth sensor. You can also shoot at 2X, but don't get fooled, it's merely a digital zoom solution. There’s an 8MP selfie camera up front, and video quality tops up at 1080p at 30fps.
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Awesome,Taufeeque Alam,5.0 out of 5 stars,"
  Awesome
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Value for money,Thirunavukarasu,5.0 out of 5 stars,"
  Good product value for money but ordering is too difficult within one minute soldout
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Think it before buy,Amaan Skroowala,4.0 out of 5 stars,"
  i didn't upload photo ....for any reason but it is not up to the mark .1.display 4/52.cam 3/53.fing sens.. 4.5/54.processor 3/55.build quality 3.75/5back panel is not good looking coz some self design as per my opinionin this price segment rs 9000 is good enough
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Best in budget,Nisarg Bhalavat,5.0 out of 5 stars,"
  Best buy at this price! The display quality is amazing and I do not have any complaint with the camera too. There is no other phone available at this price which comes with 4GB ram. You should go ahead with this.
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Everything is fine except camera which only works good in sun light,Sourabh Meena,1.0 out of 5 stars,"
  This phone is not value for moneyIts a downgraded phone of earlier phone launched in india.The camera is worst i ever seen in any redmi phone.Battery is ok.The display quality is very bad not hd. Watching videos on YouTube feels like watching 3gp videos.Dot notch display is ok in lookwise but not good in quality.Sometimes 4gb ram feels like 2gb.I am very disappointed by the camera quality of this phone.12 megapixel feels like 2MP camera.Recently i am using redmi note 5 pro. And this phone is just downgraded phone by redmi .you cannot imagine low light photography in this phone.The back plastic body feels like a cheap phone.If you really need a phone there are many options in the market.If you are taking phone for the first and a beginner you can go for redmi 9 prime.
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Average Buy,Hitesh Narkhede,3.0 out of 5 stars,"
  Processor is bit slow, camera is below average except that everthing works fine. I personally don't like MIUI because of lots of ads and bloatwares. But, good budget range phone if you ignore/adjust this issues.
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",best product,Yashu,5.0 out of 5 stars,"
  best good product prive battry camera all very good
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Looking mobile best feature,Monu Godara,5.0 out of 5 stars,"
  Good mobile
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",DONT BUY THIS MOBILE .,Amazon Customer,1.0 out of 5 stars,"
  Don’t buy this product .Image quality is below average comparing with the specification. Useless camera.And there is NO RETURN POLICY and replacing with same mobile is big headache .DON’T buy this mobile
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120","Redmi 9 hhoo, 9, 9🤩, 9, changed mind",ADIL.T.M,4.0 out of 5 stars,"
  Let’s make one thing clear immediately: the Xiaomi Redmi 9 is a phone with flaws, and it has a lot of them. On the other hand, it is one of the most affordable phones available anywhere right now, and it's hard to find a better phone at this price point.The screen is of barely acceptable quality, the camera is disappointing, and the performance is middling at best, and yet, the Redmi 9 counters these with its superb design, good feature set, long battery life, and finally, the biggest ace in its sleeve — the ultra-affordable pricing. Let that sink in — the Redmi 9 starts at less than 9000, This alone offsets all of the flaws that the phone has in store for us. Or does it? Let's look at the the many, many corners that have been cut to achieve this pricing🇩 🇪 🇸 🇮 🇬 🇳 Plastic is fantastic, especially on affordable phones, and the Redmi 9 once again proves that. The textured back of the Redmi 9 feels great in the hand and provides excellent grip when used naked, though I’d still recommend putting a case on. I actually quite like the textured back of the device, which not only helps with the grip, but also adds a certain ""cool"" factor to the device, and no, I have zero issues with the fact that I'm touching plastic. What’s more, plastic keeps the weight below 200 grams, which is admirable for such a large device with its humongous 5,020mAh battery. Don’t get me wrong, it’s still a big and heavy phone, but it doesn’t strike as such. Overall, the Redmi 9 is a joy to handle, despite its large dimensions.🇩 🇮 🇸 🇵 🇱 🇦 🇾 The display of the Redmi 9 is pretty average. Sure, it’s large and spacious with its 6.53-inch diagonal, and the resolution is more than sufficient, but it’s an LCD FHD+ display with bleak colors, low brightness, and disappointing contrast. The display is lackluster, and I didn’t enjoy it at all during my time with the phone. You will also have a hard time under bright sunlight, as it’s just not bright enough.🅱🅰🆃🆃🅴🆁🆈The battery backup, fortunately, is spectacular on the Redmi 9. With the phone's fairly efficient hardware, the large, 5,020mAh battery takes a long while to drain. You can rest assured it will last you for a long time; in my experience, two days of usage were guaranteed. In our custom battery tests, the phone lasted for a combined time of 10 hours and 14 minutes, which is one of the best results we've seen so far in 2020. Charging, however, is pretty slow — the 10W charger included in the box topped up the Redmi 9 in 168 minutes, or 2 hours and 48 minutes. That's slow, but then again, what else did you expect?🅲🅰🅼🅴🆁🅰There are three cameras on the Redmi 9: a 13MP main, an 8MP ultra-wide, a 5MP macro camera, and a 2MP depth sensor. You can also shoot at 2X, but don't get fooled, it's merely a digital zoom solution. There’s an 8MP selfie camera up front, and video quality tops up at 1080p at 30fps.
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Awesome,Taufeeque Alam,5.0 out of 5 stars,"
  Awesome
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Value for money,Thirunavukarasu,5.0 out of 5 stars,"
  Good product value for money but ordering is too difficult within one minute soldout
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Think it before buy,Amaan Skroowala,4.0 out of 5 stars,"
  i didn't upload photo ....for any reason but it is not up to the mark .1.display 4/52.cam 3/53.fing sens.. 4.5/54.processor 3/55.build quality 3.75/5back panel is not good looking coz some self design as per my opinionin this price segment rs 9000 is good enough
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Best in budget,Nisarg Bhalavat,5.0 out of 5 stars,"
  Best buy at this price! The display quality is amazing and I do not have any complaint with the camera too. There is no other phone available at this price which comes with 4GB ram. You should go ahead with this.
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Everything is fine except camera which only works good in sun light,Sourabh Meena,1.0 out of 5 stars,"
  This phone is not value for moneyIts a downgraded phone of earlier phone launched in india.The camera is worst i ever seen in any redmi phone.Battery is ok.The display quality is very bad not hd. Watching videos on YouTube feels like watching 3gp videos.Dot notch display is ok in lookwise but not good in quality.Sometimes 4gb ram feels like 2gb.I am very disappointed by the camera quality of this phone.12 megapixel feels like 2MP camera.Recently i am using redmi note 5 pro. And this phone is just downgraded phone by redmi .you cannot imagine low light photography in this phone.The back plastic body feels like a cheap phone.If you really need a phone there are many options in the market.If you are taking phone for the first and a beginner you can go for redmi 9 prime.
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Average Buy,Hitesh Narkhede,3.0 out of 5 stars,"
  Processor is bit slow, camera is below average except that everthing works fine. I personally don't like MIUI because of lots of ads and bloatwares. But, good budget range phone if you ignore/adjust this issues.
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",best product,Yashu,5.0 out of 5 stars,"
  best good product prive battry camera all very good
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Looking mobile best feature,Monu Godara,5.0 out of 5 stars,"
  Good mobile
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",DONT BUY THIS MOBILE .,Amazon Customer,1.0 out of 5 stars,"
  Don’t buy this product .Image quality is below average comparing with the specification. Useless camera.And there is NO RETURN POLICY and replacing with same mobile is big headache .DON’T buy this mobile
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120","Redmi 9 hhoo, 9, 9🤩, 9, changed mind",ADIL.T.M,4.0 out of 5 stars,"
  Let’s make one thing clear immediately: the Xiaomi Redmi 9 is a phone with flaws, and it has a lot of them. On the other hand, it is one of the most affordable phones available anywhere right now, and it's hard to find a better phone at this price point.The screen is of barely acceptable quality, the camera is disappointing, and the performance is middling at best, and yet, the Redmi 9 counters these with its superb design, good feature set, long battery life, and finally, the biggest ace in its sleeve — the ultra-affordable pricing. Let that sink in — the Redmi 9 starts at less than 9000, This alone offsets all of the flaws that the phone has in store for us. Or does it? Let's look at the the many, many corners that have been cut to achieve this pricing🇩 🇪 🇸 🇮 🇬 🇳 Plastic is fantastic, especially on affordable phones, and the Redmi 9 once again proves that. The textured back of the Redmi 9 feels great in the hand and provides excellent grip when used naked, though I’d still recommend putting a case on. I actually quite like the textured back of the device, which not only helps with the grip, but also adds a certain ""cool"" factor to the device, and no, I have zero issues with the fact that I'm touching plastic. What’s more, plastic keeps the weight below 200 grams, which is admirable for such a large device with its humongous 5,020mAh battery. Don’t get me wrong, it’s still a big and heavy phone, but it doesn’t strike as such. Overall, the Redmi 9 is a joy to handle, despite its large dimensions.🇩 🇮 🇸 🇵 🇱 🇦 🇾 The display of the Redmi 9 is pretty average. Sure, it’s large and spacious with its 6.53-inch diagonal, and the resolution is more than sufficient, but it’s an LCD FHD+ display with bleak colors, low brightness, and disappointing contrast. The display is lackluster, and I didn’t enjoy it at all during my time with the phone. You will also have a hard time under bright sunlight, as it’s just not bright enough.🅱🅰🆃🆃🅴🆁🆈The battery backup, fortunately, is spectacular on the Redmi 9. With the phone's fairly efficient hardware, the large, 5,020mAh battery takes a long while to drain. You can rest assured it will last you for a long time; in my experience, two days of usage were guaranteed. In our custom battery tests, the phone lasted for a combined time of 10 hours and 14 minutes, which is one of the best results we've seen so far in 2020. Charging, however, is pretty slow — the 10W charger included in the box topped up the Redmi 9 in 168 minutes, or 2 hours and 48 minutes. That's slow, but then again, what else did you expect?🅲🅰🅼🅴🆁🅰There are three cameras on the Redmi 9: a 13MP main, an 8MP ultra-wide, a 5MP macro camera, and a 2MP depth sensor. You can also shoot at 2X, but don't get fooled, it's merely a digital zoom solution. There’s an 8MP selfie camera up front, and video quality tops up at 1080p at 30fps.
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Awesome,Taufeeque Alam,5.0 out of 5 stars,"
  Awesome
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Value for money,Thirunavukarasu,5.0 out of 5 stars,"
  Good product value for money but ordering is too difficult within one minute soldout
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Think it before buy,Amaan Skroowala,4.0 out of 5 stars,"
  i didn't upload photo ....for any reason but it is not up to the mark .1.display 4/52.cam 3/53.fing sens.. 4.5/54.processor 3/55.build quality 3.75/5back panel is not good looking coz some self design as per my opinionin this price segment rs 9000 is good enough
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Best in budget,Nisarg Bhalavat,5.0 out of 5 stars,"
  Best buy at this price! The display quality is amazing and I do not have any complaint with the camera too. There is no other phone available at this price which comes with 4GB ram. You should go ahead with this.
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Everything is fine except camera which only works good in sun light,Sourabh Meena,1.0 out of 5 stars,"
  This phone is not value for moneyIts a downgraded phone of earlier phone launched in india.The camera is worst i ever seen in any redmi phone.Battery is ok.The display quality is very bad not hd. Watching videos on YouTube feels like watching 3gp videos.Dot notch display is ok in lookwise but not good in quality.Sometimes 4gb ram feels like 2gb.I am very disappointed by the camera quality of this phone.12 megapixel feels like 2MP camera.Recently i am using redmi note 5 pro. And this phone is just downgraded phone by redmi .you cannot imagine low light photography in this phone.The back plastic body feels like a cheap phone.If you really need a phone there are many options in the market.If you are taking phone for the first and a beginner you can go for redmi 9 prime.
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Average Buy,Hitesh Narkhede,3.0 out of 5 stars,"
  Processor is bit slow, camera is below average except that everthing works fine. I personally don't like MIUI because of lots of ads and bloatwares. But, good budget range phone if you ignore/adjust this issues.
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",best product,Yashu,5.0 out of 5 stars,"
  best good product prive battry camera all very good
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Looking mobile best feature,Monu Godara,5.0 out of 5 stars,"
  Good mobile
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",DONT BUY THIS MOBILE .,Amazon Customer,1.0 out of 5 stars,"
  Don’t buy this product .Image quality is below average comparing with the specification. Useless camera.And there is NO RETURN POLICY and replacing with same mobile is big headache .DON’T buy this mobile
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120","Redmi 9 hhoo, 9, 9🤩, 9, changed mind",ADIL.T.M,4.0 out of 5 stars,"
  Let’s make one thing clear immediately: the Xiaomi Redmi 9 is a phone with flaws, and it has a lot of them. On the other hand, it is one of the most affordable phones available anywhere right now, and it's hard to find a better phone at this price point.The screen is of barely acceptable quality, the camera is disappointing, and the performance is middling at best, and yet, the Redmi 9 counters these with its superb design, good feature set, long battery life, and finally, the biggest ace in its sleeve — the ultra-affordable pricing. Let that sink in — the Redmi 9 starts at less than 9000, This alone offsets all of the flaws that the phone has in store for us. Or does it? Let's look at the the many, many corners that have been cut to achieve this pricing🇩 🇪 🇸 🇮 🇬 🇳 Plastic is fantastic, especially on affordable phones, and the Redmi 9 once again proves that. The textured back of the Redmi 9 feels great in the hand and provides excellent grip when used naked, though I’d still recommend putting a case on. I actually quite like the textured back of the device, which not only helps with the grip, but also adds a certain ""cool"" factor to the device, and no, I have zero issues with the fact that I'm touching plastic. What’s more, plastic keeps the weight below 200 grams, which is admirable for such a large device with its humongous 5,020mAh battery. Don’t get me wrong, it’s still a big and heavy phone, but it doesn’t strike as such. Overall, the Redmi 9 is a joy to handle, despite its large dimensions.🇩 🇮 🇸 🇵 🇱 🇦 🇾 The display of the Redmi 9 is pretty average. Sure, it’s large and spacious with its 6.53-inch diagonal, and the resolution is more than sufficient, but it’s an LCD FHD+ display with bleak colors, low brightness, and disappointing contrast. The display is lackluster, and I didn’t enjoy it at all during my time with the phone. You will also have a hard time under bright sunlight, as it’s just not bright enough.🅱🅰🆃🆃🅴🆁🆈The battery backup, fortunately, is spectacular on the Redmi 9. With the phone's fairly efficient hardware, the large, 5,020mAh battery takes a long while to drain. You can rest assured it will last you for a long time; in my experience, two days of usage were guaranteed. In our custom battery tests, the phone lasted for a combined time of 10 hours and 14 minutes, which is one of the best results we've seen so far in 2020. Charging, however, is pretty slow — the 10W charger included in the box topped up the Redmi 9 in 168 minutes, or 2 hours and 48 minutes. That's slow, but then again, what else did you expect?🅲🅰🅼🅴🆁🅰There are three cameras on the Redmi 9: a 13MP main, an 8MP ultra-wide, a 5MP macro camera, and a 2MP depth sensor. You can also shoot at 2X, but don't get fooled, it's merely a digital zoom solution. There’s an 8MP selfie camera up front, and video quality tops up at 1080p at 30fps.
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Awesome,Taufeeque Alam,5.0 out of 5 stars,"
  Awesome
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Value for money,Thirunavukarasu,5.0 out of 5 stars,"
  Good product value for money but ordering is too difficult within one minute soldout
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Think it before buy,Amaan Skroowala,4.0 out of 5 stars,"
  i didn't upload photo ....for any reason but it is not up to the mark .1.display 4/52.cam 3/53.fing sens.. 4.5/54.processor 3/55.build quality 3.75/5back panel is not good looking coz some self design as per my opinionin this price segment rs 9000 is good enough
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Best in budget,Nisarg Bhalavat,5.0 out of 5 stars,"
  Best buy at this price! The display quality is amazing and I do not have any complaint with the camera too. There is no other phone available at this price which comes with 4GB ram. You should go ahead with this.
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Everything is fine except camera which only works good in sun light,Sourabh Meena,1.0 out of 5 stars,"
  This phone is not value for moneyIts a downgraded phone of earlier phone launched in india.The camera is worst i ever seen in any redmi phone.Battery is ok.The display quality is very bad not hd. Watching videos on YouTube feels like watching 3gp videos.Dot notch display is ok in lookwise but not good in quality.Sometimes 4gb ram feels like 2gb.I am very disappointed by the camera quality of this phone.12 megapixel feels like 2MP camera.Recently i am using redmi note 5 pro. And this phone is just downgraded phone by redmi .you cannot imagine low light photography in this phone.The back plastic body feels like a cheap phone.If you really need a phone there are many options in the market.If you are taking phone for the first and a beginner you can go for redmi 9 prime.
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Average Buy,Hitesh Narkhede,3.0 out of 5 stars,"
  Processor is bit slow, camera is below average except that everthing works fine. I personally don't like MIUI because of lots of ads and bloatwares. But, good budget range phone if you ignore/adjust this issues.
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",best product,Yashu,5.0 out of 5 stars,"
  best good product prive battry camera all very good
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Looking mobile best feature,Monu Godara,5.0 out of 5 stars,"
  Good mobile
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",DONT BUY THIS MOBILE .,Amazon Customer,1.0 out of 5 stars,"
  Don’t buy this product .Image quality is below average comparing with the specification. Useless camera.And there is NO RETURN POLICY and replacing with same mobile is big headache .DON’T buy this mobile
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120","Redmi 9 hhoo, 9, 9🤩, 9, changed mind",ADIL.T.M,4.0 out of 5 stars,"
  Let’s make one thing clear immediately: the Xiaomi Redmi 9 is a phone with flaws, and it has a lot of them. On the other hand, it is one of the most affordable phones available anywhere right now, and it's hard to find a better phone at this price point.The screen is of barely acceptable quality, the camera is disappointing, and the performance is middling at best, and yet, the Redmi 9 counters these with its superb design, good feature set, long battery life, and finally, the biggest ace in its sleeve — the ultra-affordable pricing. Let that sink in — the Redmi 9 starts at less than 9000, This alone offsets all of the flaws that the phone has in store for us. Or does it? Let's look at the the many, many corners that have been cut to achieve this pricing🇩 🇪 🇸 🇮 🇬 🇳 Plastic is fantastic, especially on affordable phones, and the Redmi 9 once again proves that. The textured back of the Redmi 9 feels great in the hand and provides excellent grip when used naked, though I’d still recommend putting a case on. I actually quite like the textured back of the device, which not only helps with the grip, but also adds a certain ""cool"" factor to the device, and no, I have zero issues with the fact that I'm touching plastic. What’s more, plastic keeps the weight below 200 grams, which is admirable for such a large device with its humongous 5,020mAh battery. Don’t get me wrong, it’s still a big and heavy phone, but it doesn’t strike as such. Overall, the Redmi 9 is a joy to handle, despite its large dimensions.🇩 🇮 🇸 🇵 🇱 🇦 🇾 The display of the Redmi 9 is pretty average. Sure, it’s large and spacious with its 6.53-inch diagonal, and the resolution is more than sufficient, but it’s an LCD FHD+ display with bleak colors, low brightness, and disappointing contrast. The display is lackluster, and I didn’t enjoy it at all during my time with the phone. You will also have a hard time under bright sunlight, as it’s just not bright enough.🅱🅰🆃🆃🅴🆁🆈The battery backup, fortunately, is spectacular on the Redmi 9. With the phone's fairly efficient hardware, the large, 5,020mAh battery takes a long while to drain. You can rest assured it will last you for a long time; in my experience, two days of usage were guaranteed. In our custom battery tests, the phone lasted for a combined time of 10 hours and 14 minutes, which is one of the best results we've seen so far in 2020. Charging, however, is pretty slow — the 10W charger included in the box topped up the Redmi 9 in 168 minutes, or 2 hours and 48 minutes. That's slow, but then again, what else did you expect?🅲🅰🅼🅴🆁🅰There are three cameras on the Redmi 9: a 13MP main, an 8MP ultra-wide, a 5MP macro camera, and a 2MP depth sensor. You can also shoot at 2X, but don't get fooled, it's merely a digital zoom solution. There’s an 8MP selfie camera up front, and video quality tops up at 1080p at 30fps.
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Awesome,Taufeeque Alam,5.0 out of 5 stars,"
  Awesome
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Value for money,Thirunavukarasu,5.0 out of 5 stars,"
  Good product value for money but ordering is too difficult within one minute soldout
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Think it before buy,Amaan Skroowala,4.0 out of 5 stars,"
  i didn't upload photo ....for any reason but it is not up to the mark .1.display 4/52.cam 3/53.fing sens.. 4.5/54.processor 3/55.build quality 3.75/5back panel is not good looking coz some self design as per my opinionin this price segment rs 9000 is good enough
"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","₹ 8,999.00",4.3 out of 5 stars,"1,120",Best in budget,Nisarg Bhalavat,5.0 out of 5 stars,"
  Best buy at this price! The display quality is amazing and I do not have any complaint with the camera too. There is no other phone available at this price which comes with 4GB ram. You should go ahead with this.
"
